chrom	start	end	strand	gene
chr2	131513076	131525707	+	AMER3
chr2	131588550	131594567	-	AX746725
chr2	131595027	131672771	+	AK127124
chr2	131672785	131804836	+	ARHGEF4
chr2	131805448	131851004	-	FAM168B
chr2	131862419	132111282	+	PLEKHB2
chr2	131975923	132022416	+	POTEE
chr2	132033004	132033040	+	DQ570062
chr2	132035460	132035495	+	DQ587054
chr2	132050804	132050830	+	DQ601639
chr2	132036862	132057392	+	LOC440910
chr2	132118064	132121731	-	WTH3DI
chr2	132160473	132165801	+	LOC389043
chr2	132199733	132202467	-	LOC401010
chr2	132233579	132240507	+	TUBA3D
chr2	132248732	132248809	-	MIR4784
chr2	132241532	132250064	-	MZT2A
chr2	132250385	132279149	+	LOC150776
chr2	132285406	132291239	+	CCDC74A
chr2	132360440	132360468	+	RNU6-81P
chr2	132383958	132384268	+	FKSG30
chr2	132394283	132394315	+	DQ583165
chr2	132442469	132457442	+	BX648270
chr2	132480063	132524977	+	C2orf27A
chr2	132552533	132559234	-	C2orf27B
chr2	132905163	133015542	-	ANKRD30BL
chr2	133014538	133014653	-	MIR663B
chr2	133015500	133015595	-	JA668105
chr2	133062358	133080309	+	AK094599
chr2	133174146	133404169	+	GPR39
chr2	133402336	133429070	-	LYPD1
chr2	133673155	133689067	+	BC031872
chr2	134023813	134026613	+	BC008215
chr2	133429371	134326031	-	NCKAP5
chr2	134884695	134884763	+	MIR3679
chr2	135011829	135212192	+	MGAT5
chr2	135213329	135525334	-	TMEM163
chr2	135596185	135659602	+	ACMSD
chr2	135624202	135676176	-	LOC100129961
chr2	135676391	135716915	+	CCNT2
chr2	135722272	135805038	-	MAP3K19
chr2	135809834	135933964	+	RAB3GAP1
chr2	135957573	136288806	-	ZRANB3
chr2	136422966	136423048	+	MIR128-1
chr2	136289082	136482839	+	R3HDM1
chr2	136499188	136542633	+	UBXN4
chr2	136577760	136580657	+	LOC100507600
chr2	136545414	136594750	-	LCT
chr2	136597195	136634047	-	MCM6
chr2	136664253	136743222	-	DARS
chr2	136871918	136875725	-	CXCR4
chr2	137523114	138435287	+	THSD7B
chr2	138721807	138773934	+	HNMT
chr2	139259349	139330805	+	SPOPL
chr2	139426726	139537811	-	NXPH2
chr2	139654893	139656744	+	YY1P2
chr2	140988995	142889270	-	LRP1B
chr2	143635194	143799885	+	KYNU
chr2	143886898	144525921	+	ARHGAP15
chr2	144703580	145090083	-	GTDC1
chr2	145268957	145272018	-	AK124806
chr2	145141941	145277958	-	ZEB2
chr2	145276013	145276141	+	ZEB2_AS1_1
chr2	145278021	145278122	+	ZEB2_AS1_3
chr2	145277180	145278465	+	ZEB2-AS1
chr2	145278605	145278683	+	ZEB2_AS1_4
chr2	145462783	145462986	+	VIS1
chr2	145425533	145834291	+	TEX41
chr2	145780381	145910072	+	BC040861
chr2	145780738	145910072	+	U80770
chr2	147344624	147348558	+	PABPC1P2
chr2	148602085	148688393	+	ACVR2A
chr2	148692827	148694932	-	AK055257
chr2	148687965	148779173	-	ORC4
chr2	149227068	149228684	+	AK001975
chr2	148778579	149271044	+	MBD5
chr2	149402559	149545136	+	EPC2
chr2	149639364	149639388	-	JB137817
chr2	149632791	149883273	+	KIF5C
chr2	149894980	150071772	+	LYPD6B
chr2	150186498	150330659	+	LYPD6
chr2	150426146	150444330	-	MMADHC
chr2	151324706	151344209	-	RND3
chr2	151542508	180670376	+	SNORD95
chr2	152104727	152118389	-	RBM43
chr2	152126981	152146430	-	NMI
chr2	152224847	152224925	+	MIR4773-1
chr2	152224847	152224925	-	MIR4773-2
chr2	152194341	152235885	-	FW340097
chr2	152214105	152236562	+	TNFAIP6
chr2	152266396	152364527	+	RIF1
chr2	152341852	152591001	-	NEB
chr2	152645591	152685009	-	ARL5A
chr2	152689285	152955593	-	CACNB4
chr2	152973314	153032506	-	STAM2
chr2	153191750	153506348	+	FMNL2
chr2	153508106	153573975	-	PRPF40A
chr2	153574406	153617767	+	ARL6IP6
chr2	154333851	154335322	-	RPRM
chr2	154728425	155310489	+	GALNT13
chr2	155292364	155313950	-	LOC100144595
chr2	155555092	155714864	+	KCNJ3
chr2	156877046	157111432	-	BC032407
chr2	157180943	157189287	-	NR4A2
chr2	157193083	157198172	-	AK128708
chr2	157439735	157442914	+	AK027840
chr2	157291964	157470247	+	GPD2
chr2	158114339	158167913	+	GALNT5
chr2	158175124	158184146	-	ERMN
chr2	158271130	158345473	-	CYTIP
chr2	158383278	158485399	-	ACVR1C
chr2	158592957	158732374	-	ACVR1
chr2	158851690	158992666	+	UPP2
chr2	159023161	159092681	+	CCDC148-AS1
chr2	159027868	159313265	-	CCDC148
chr2	159390711	159390796	+	SnoZ5
chr2	159313475	159537940	+	PKP4
chr2	159514848	159591514	-	AK126351
chr2	159651828	159719471	+	DAPL1
chr2	159825145	160089170	+	TANC1
chr2	160092303	160143236	-	WDSUB1
chr2	160175489	160177834	-	AK023566
chr2	160175489	160568946	-	BAZ2B
chr2	160549706	160568946	-	DKFZp686H10114
chr2	160569009	160625084	+	MARCH7
chr2	160625138	160654766	-	CD302
chr2	160625138	160761267	-	LY75-CD302
chr2	160659867	160761267	-	LY75
chr2	160797259	160919126	-	PLA2R1
chr2	160956181	160958258	-	AK026736
chr2	160958232	161128399	-	ITGB6
chr2	161264320	161264393	-	MIR4785
chr2	161128661	161350318	-	RBMS1
chr2	161993465	162092683	+	TANK
chr2	162101249	162105241	+	AK027541
chr2	162196026	162196646	-	BC073897
chr2	162164785	162268228	+	PSMD14
chr2	162272619	162281573	+	TBR1
chr2	162355577	162364413	-	AHCTF1P1
chr2	162480844	162841786	+	SLC4A10
chr2	162848754	162931052	-	DPP4
chr2	162999378	163008914	-	GCG
chr2	163027199	163100045	-	FAP
chr2	163123588	163175218	-	IFIH1
chr2	163200582	163219148	+	GCA
chr2	163625448	163654482	+	BC042876
chr2	163227916	163695257	-	KCNH7
chr2	164464117	164592513	-	FIGN
chr2	165349322	165478360	-	GRB14
chr2	165544152	165544287	-	SNORA70F
chr2	165541257	165698678	-	COBLL1
chr2	165754708	165812035	-	SLC38A11
chr2	165944029	166060577	-	SCN3A
chr2	166095911	166248820	+	SCN2A
chr2	166326156	166545917	+	CSRNP3
chr2	166604312	166651169	-	GALNT3
chr2	166713985	166728451	-	LOC100506124
chr2	166713985	166810348	-	TTC21B
chr2	166790366	166804831	+	LOC100506134
chr2	166845669	167005642	-	SCN1A
chr2	166938040	167158293	+	BC051759
chr2	167051696	167232497	-	SCN9A
chr2	167260082	167350717	-	SCN7A
chr2	167744996	168116261	+	XIRP2
chr2	168675181	168727366	+	B3GALT1
chr2	168810529	169104105	-	STK39
chr2	169439452	169439528	+	MIR4774
chr2	169312758	169631644	+	CERS6
chr2	169628460	169642939	-	CERS6-AS1
chr2	169643048	169721849	+	NOSTRIN
chr2	169727400	169746944	-	SPC25
chr2	169757749	169766510	+	G6PC2
chr2	169779448	169887833	-	ABCB11
chr2	169921298	169952677	+	DHRS9
chr2	169983618	170219122	-	LRP2
chr2	170336005	170363165	+	BBS5
chr2	170336005	170382772	+	KLHL41
chr2	170386262	170430424	-	FASTKD1
chr2	170440849	170494254	+	PPIG
chr2	170501934	170550931	-	CCDC173
chr2	170550963	170558218	+	PHOSPHO2
chr2	170550963	170608396	+	PHOSPHO2-KLHL23
chr2	170590355	170608396	+	KLHL23
chr2	170655321	170668571	+	SSB
chr2	170668267	170681420	-	METTL5
chr2	170684017	170940639	+	UBR3
chr2	171034654	171511674	+	MYO3B
chr2	171496888	171551884	-	AK127400
chr2	171568948	171571077	-	LOC440925
chr2	171571856	171574498	+	SP5
chr2	171579718	171627276	-	AK023515
chr2	171627603	171634757	+	LOC100505695
chr2	171640295	171655476	+	ERICH2
chr2	171673199	171717659	+	GAD1
chr2	171784947	171823643	+	GORASP2
chr2	171847332	172087824	-	TLK1
chr2	172173912	172291312	-	METTL8
chr2	172290726	172341562	+	DCAF17
chr2	172378756	172414643	+	CYBRD1
chr2	172543918	172606668	+	DYNC1I2
chr2	172639914	172750816	-	SLC25A12
chr2	172778934	172848600	+	HAT1
chr2	172864803	172945587	+	METAP1D
chr2	172950207	172954401	+	DLX1
chr2	172964165	172967478	-	DLX2
chr2	173292081	173371181	+	ITGA6
chr2	173420100	173489823	+	PDK1
chr2	173587917	173600934	-	RAPGEF4-AS1
chr2	173600524	173917620	+	RAPGEF4
chr2	173940564	174132737	+	ZAK
chr2	174062440	174146764	-	MLK7-AS1
chr2	174219560	174233718	+	CDCA7
chr2	174771186	174830430	-	SP3
chr2	174937174	175113365	-	OLA1
chr2	175190754	175195370	+	LOC285084
chr2	175199820	175202268	+	SP9
chr2	175212877	175260443	-	CIR1
chr2	175260456	175294303	+	SCRN3
chr2	175296299	175351816	-	GPR155
chr2	175424301	175547627	-	WIPF1
chr2	175412096	175530417	+	AK002090
chr2	175612322	175629200	-	CHRNA1
chr2	175411868	175639554	+	BC046497
chr2	175664041	175870107	-	CHN1
chr2	176032360	176032437	-	MIR933
chr2	175936977	176032934	-	ATF2
chr2	176040985	176046490	-	ATP5G3
chr2	176790409	176867514	-	KIAA1715
chr2	176944834	176948690	-	EVX2
chr2	176957531	176960666	+	HOXD13
chr2	176964529	176965488	+	HOXD12
chr2	176969249	176974316	+	HOXD11
chr2	176981491	176984670	+	HOXD10
chr2	176987412	176989645	+	HOXD9
chr2	176992554	176994493	-	AX747372
chr2	176994421	176997423	+	HOXD8
chr2	176999568	177001826	-	HOXD-AS2
chr2	177001339	177005119	+	BC047605
chr2	177015030	177015140	+	MIR10B
chr2	177016112	177017949	+	HOXD4
chr2	177028804	177037826	+	HOXD3
chr2	177037923	177053686	-	HOXD-AS1
chr2	177053306	177055635	+	HOXD1
chr2	177134122	177202753	+	MTX2
chr2	177465707	177465780	-	MIR1246
chr2	177494308	177502302	-	LOC375295
chr2	75263626	178077526	+	MIR4444-1
chr2	178077421	178088685	+	HNRNPA3
chr2	178120672	178120738	-	MIR3128
chr2	178095030	178257419	-	NFE2L2
chr2	178148241	178257419	-	LOC100130691
chr2	178257470	178408564	+	AGPS
chr2	178414880	178417524	-	TTC30B
chr2	178479025	178483694	-	TTC30A
chr2	178487976	178973066	-	PDE11A
chr2	178977181	178994382	+	RBM45
chr2	179059207	179264160	+	OSBPL6
chr2	179296271	179298257	-	AX747806
chr2	179278389	179298394	+	BX538254
chr2	179296140	179315958	-	PRKRA
chr2	179316162	179326110	+	DFNB59
chr2	179328390	179343355	-	FKBP7
chr2	179345198	179369782	+	PLEKHA3
chr2	179390716	179672150	-	TTN
chr2	179443516	179445633	+	AX746670
chr2	179387553	179484944	+	TTN-AS1
chr2	179246804	179541009	+	MIR548N
chr2	179641652	179644689	+	AK123298
chr2	179694483	179914786	-	CCDC141
chr2	179966418	180129350	-	SESTD1
chr2	180306710	180726232	-	ZNF385B
chr2	180725607	180725628	+	JB175181
chr2	180725562	180725635	-	MIR1258
chr2	139620555	180799265	-	SNORA43
chr2	180809603	180871840	-	CWC22
chr2	181556830	181781666	+	SChLAP1
chr2	181845111	181928150	+	UBE2E3
chr2	182170319	182170379	-	MIR4437
chr2	181988563	182264280	+	AK125001
chr2	182321618	182402468	+	ITGA4
chr2	182401400	182545392	-	CERKL
chr2	182540832	182545392	-	NEUROD1
chr2	182756471	182795464	+	SSFA2
chr2	182850550	182996109	+	PPP1R1C
chr2	183004761	183387572	-	PDE1A
chr2	183580767	183644750	+	DNAJC10
chr2	183698004	183731498	-	FRZB
chr2	183789578	183903586	-	NCKAP1
chr2	183943286	183964722	+	DUSP19
chr2	183984749	184026408	+	NUP35
chr2	185463092	185804214	+	ZNF804A
chr2	1513942	186411894	-	DD413621
chr2	186584600	186603441	-	BC039382
chr2	186603354	186698016	+	FSIP2
chr2	187350884	187374087	+	ZC3H15
chr2	187372380	187374087	+	AL049948
chr2	187454789	187545629	+	ITGAV
chr2	187558788	187630684	+	FAM171B
chr2	187692206	187713897	-	ZSWIM2
chr2	188206689	188313021	-	CALCRL
chr2	188328957	188419219	-	TFPI
chr2	189162218	189162315	+	MIR561
chr2	189156395	189460652	+	GULP1
chr2	189598464	189654831	-	DIRC1
chr2	189842817	189842886	+	MIR1245A
chr2	189842819	189842887	-	MIR1245B
chr2	189839098	189877472	+	COL3A1
chr2	189860355	189860418	+	MIR3606
chr2	189896640	190044605	-	COL5A2
chr2	189997761	189997837	-	MIR3129
chr2	190306158	190340264	+	WDR75
chr2	190425315	190448484	-	SLC40A1
chr2	190526124	190535557	+	ASNSD1
chr2	190539218	190611376	+	ANKAR
chr2	190611385	190627953	-	OSGEPL1
chr2	190627505	190630282	+	OSGEPL1-AS1
chr2	190634992	190649097	-	ORMDL1
chr2	190648810	190742355	+	PMS1
chr2	190920425	190927455	-	MSTN
chr2	191002485	191068210	+	C2orf88
chr2	191069359	191184771	-	HIBCH
chr2	191208195	191236391	+	INPP1
chr2	191273080	191367041	+	MFSD6
chr2	191371618	191399468	-	TMEM194B
chr2	191513847	191557492	+	NAB1
chr2	191745546	191830270	+	GLS
chr2	191833761	191878976	-	STAT1
chr2	191894301	192038902	-	STAT4
chr2	192110106	192290115	+	MYO1B
chr2	192542797	192553248	+	NABP1
chr2	192699031	192712006	-	SDPR
chr2	192813771	193059644	-	TMEFF2
chr2	193614570	193641625	+	PCGEM1
chr2	195209005	195284355	+	BC038548
chr2	196521531	196602426	+	SLC39A10
chr2	196602426	196933536	-	DNAH7
chr2	196998306	197041227	-	STK17B
chr2	197124837	197128922	+	BC062769
chr2	197063976	197457335	-	HECW2
chr2	197504355	197597530	+	CCDC150
chr2	197565358	197577736	-	LOC100130452
chr2	197627755	197664492	-	GTF3C3
chr2	197669138	197675000	-	C2orf66
chr2	197697727	197792519	-	PGAP1
chr2	197831740	198175521	-	ANKRD44
chr2	198266281	198266315	+	SnR39B
chr2	198256697	198299771	-	SF3B1
chr2	198318230	198339851	+	COQ10B
chr2	198351307	198364998	-	HSPD1
chr2	198364720	198368187	+	HSPE1
chr2	198364720	198418423	+	HSPE1-MOB4
chr2	198380294	198418423	+	MOB4
chr2	198435526	198540584	-	RFTN2
chr2	198570027	198573114	+	MARS2
chr2	198557829	198639547	+	BC021693
chr2	198591602	198650938	-	BOLL
chr2	198669425	199014608	+	PLCL1
chr2	199164086	199239273	-	AK096499
chr2	200212250	200213896	-	AK025127
chr2	200134222	200335989	-	SATB2
chr2	200323124	200324484	+	AK125157
chr2	200332820	200337481	+	SATB2-AS1
chr2	200334618	200341658	+	AK056625
chr2	200489253	200523855	+	BC035629
chr2	200625258	200715896	-	FTCDNL1
chr2	200775978	200792996	+	C2orf69
chr2	200793633	200820459	-	TYW5
chr2	200820039	200828847	+	C2orf47
chr2	201170603	201346986	+	SPATS2L
chr2	201353683	201374792	-	KCTD18
chr2	201390864	201448818	+	SGOL2
chr2	201450730	201536217	+	AOX1
chr2	201577027	201599900	-	LOC100507140
chr2	201560445	201658941	+	AOX2P
chr2	201676268	201688569	+	BZW1
chr2	201717731	201729467	-	CLK1
chr2	201735678	201753849	-	PPIL3
chr2	201754049	201768655	+	NIF3L1
chr2	201774893	201828424	-	ORC2
chr2	201838440	201936392	-	FAM126B
chr2	201936461	201950473	+	NDUFB3
chr2	79540163	202002343	-	DQ582762
chr2	201980876	202037411	+	CFLAR
chr2	202005011	202022515	-	CFLAR-AS1
chr2	202047620	202094129	+	CASP10
chr2	202098165	202152434	+	CASP8
chr2	202153146	202222121	-	ALS2CR12
chr2	202241929	202316319	-	TRAK2
chr2	202316391	202345574	+	STRADB
chr2	202352143	202483905	-	ALS2CR11
chr2	202484906	202508252	-	TMEM237
chr2	202509596	202563417	-	MPP4
chr2	202564985	202645895	-	ALS2
chr2	202655176	202760273	+	CDK15
chr2	202899309	202903160	+	FZD7
chr2	202937977	203061886	+	LOC100652824
chr2	203070902	203103322	-	SUMO1
chr2	203141153	203142915	+	SNORD70
chr2	203130514	203168384	+	NOP58
chr2	203156039	203156151	+	SNORD11B
chr2	203157773	203157857	+	SNORD11
chr2	203241049	203432474	+	BMPR2
chr2	203499900	203634480	+	FAM117B
chr2	203637872	203736371	-	ICA1L
chr2	203745322	203776949	-	WDR12
chr2	203776977	203851060	+	ALS2CR8
chr2	203879601	204091101	+	NBEAL1
chr2	204103163	204170563	+	CYP20A1
chr2	204193002	204296892	+	ABI2
chr2	204298538	204400058	-	RAPH1
chr2	204571197	204603636	+	CD28
chr2	204732510	204738683	+	CTLA4
chr2	204801470	204826298	+	ICOS
chr2	205410515	206484886	+	PARD3B
chr2	206547223	206662857	+	NRP2
chr2	206858444	206950906	-	INO80D
chr2	206950355	206951576	+	BC047484
chr2	206980296	206981296	-	GCSHP3
chr2	206983254	206984146	-	AX747742
chr2	206987802	207024243	-	NDUFS1
chr2	207026604	207026674	+	SNORD51
chr2	207026951	207027083	+	SNORA41
chr2	207024317	207027653	+	EEF1B2
chr2	207040041	207082771	-	GPR1
chr2	207117170	207118497	+	AX748049
chr2	207068099	207128751	+	GPR1AS
chr2	207128707	207130050	+	BC028329
chr2	207139522	207179148	+	ZDBF2
chr2	207308367	207485854	+	ADAM23
chr2	207507141	207514173	+	LOC200726
chr2	207516344	207583120	-	DYTN
chr2	207598941	207630050	-	MDH1B
chr2	207647957	207648032	+	MIR3130-2
chr2	207647957	207648032	-	MIR3130-1
chr2	207630111	207660911	+	FASTKD2
chr2	207804277	207834198	+	CPO
chr2	207974710	207974797	-	MIR2355
chr2	207938861	208031970	-	KLF7
chr2	208084387	208100789	-	BC038530
chr2	208394615	208470284	+	CREB1
chr2	208446076	208490065	-	METTL21A
chr2	208619530	208619605	+	MIR4775
chr2	208576263	208620896	+	CCNYL1
chr2	208627309	208634143	-	FZD5
chr2	208686011	208890284	-	PLEKHM3
chr2	208986330	209028297	-	CRYGD
chr2	208992860	208994554	-	CRYGC
chr2	209007296	209010877	-	CRYGB
chr2	208983852	209021486	+	LOC100507443
chr2	209025463	209028297	-	CRYGA
chr2	209030070	209054773	-	C2orf80
chr2	209100952	209119806	-	IDH1
chr2	209119956	209120918	+	IDH1-AS1
chr2	64086261	209129374	-	JA429503
chr2	209130990	209223475	+	PIKFYVE
chr2	209224568	209704818	+	PTH2R
chr2	210288770	210598834	+	MAP2
chr2	210636716	210864024	+	UNC80
chr2	210867288	210886984	+	RPE
chr2	210895456	210929080	+	AK093026
chr2	210885434	211036051	-	KANSL1L
chr2	211052715	211090215	-	ACADL
chr2	211097415	211098702	+	BC130595
chr2	211154867	211179895	-	MYL1
chr2	211295972	211341499	-	LANCL1
chr2	211482294	211484599	+	CPS1-IT1
chr2	211342405	211543831	+	CPS1
chr2	213290986	213291084	-	MIR548F2
chr2	212240441	213403352	-	ERBB4
chr2	213790980	213791060	+	MIR4776-1
chr2	213790980	213791060	-	MIR4776-2
chr2	213864410	214016333	-	IKZF2
chr2	214141276	214148929	-	LOC100130451
chr2	214149102	215275225	+	SPAG16
chr2	215374905	215401613	+	VWC2L-IT1
chr2	215276460	215440653	+	VWC2L
chr2	215593274	215674428	-	BARD1
chr2	215796265	216003151	-	ABCA12
chr2	216176678	216214496	+	ATIC
chr2	216225178	216300791	-	FN1
chr2	216476285	216708259	-	LINC00607
chr2	216807313	216878346	-	MREG
chr2	216861028	216946539	-	PECR
chr2	216946588	216967506	+	TMEM169
chr2	216974019	217071016	+	XRCC5
chr2	217079049	217081397	+	AX747067
chr2	217081611	217084915	+	PKI55
chr2	217122584	217236750	-	MARCH4
chr2	217277136	217347774	+	SMARCAL1
chr2	217363519	217366188	+	RPL37A
chr2	217498126	217529158	+	IGFBP2
chr2	217536827	217560272	-	IGFBP5
chr2	217724181	217724782	-	TNP1
chr2	217731054	217732536	-	BC031974
chr2	217735494	217736362	+	hCG_1816075
chr2	218148092	218148246	+	Pinc
chr2	218148745	218621316	-	DIRC3
chr2	218664511	218867718	-	TNS1
chr2	218923877	218926013	-	CXCR2P1
chr2	218899656	218955304	+	RUFY4
chr2	218990012	219001976	+	CXCR2
chr2	219029390	219029414	+	HV303425
chr2	219027567	219031716	-	CXCR1
chr2	219081816	219119071	+	ARPC2
chr2	219125737	219128582	+	GPBAR1
chr2	219128851	219134893	-	AAMP
chr2	219135114	219211516	+	PNKD
chr2	219138916	219157280	-	TMBIM1
chr2	219231387	219232558	-	BC038211
chr2	219221578	219232817	+	C2orf62
chr2	219246751	219261617	+	SLC11A1
chr2	219267368	219267445	+	MIR26B
chr2	219263060	219270664	+	CTDSP1
chr2	219283837	219314248	+	VIL1
chr2	219314973	219433084	-	USP37
chr2	219433302	219461158	+	RQCD1
chr2	219472487	219501909	+	PLCD4
chr2	219502639	219524355	-	ZNF142
chr2	219524378	219528166	+	BCS1L
chr2	219528586	219536781	-	RNF25
chr2	219536748	219567440	+	STK36
chr2	219575567	219620138	+	TTLL4
chr2	219646471	219680016	+	CYP27A1
chr2	219684883	219687242	+	AX748340
chr2	219687105	219696512	-	PRKAG3
chr2	219724545	219738954	+	WNT6
chr2	219745254	219758651	+	WNT10A
chr2	219765535	219795358	-	BC038542
chr2	219824349	219826877	+	CDK5R2
chr2	219841005	219842644	+	LINC00608
chr2	219845808	219850379	-	FEV
chr2	219854911	219858127	-	CRYBA2
chr2	219866366	219866430	-	MIR375
chr2	219866936	219880444	+	LOC100129175
chr2	219867567	219906273	-	CCDC108
chr2	219923409	219923472	-	MIR3131
chr2	219919141	219925238	-	IHH
chr2	219940045	220034817	-	NHEJ1
chr2	220026180	220034817	-	SLC23A3
chr2	220036618	220042732	-	CNPPD1
chr2	220042938	220050197	+	FAM134A
chr2	220071505	220074373	+	ZFAND2B
chr2	220074487	220085174	-	ABCB6
chr2	220082846	220094361	-	ATG9A
chr2	220094478	220101391	+	ANKZF1
chr2	220101502	220110131	-	GLB1L
chr2	220110191	220115059	+	STK16
chr2	220115000	220119330	-	TUBA4A
chr2	220117964	220136910	+	TUBA4B
chr2	220144039	220151622	+	DNAJB2
chr2	220158832	220158922	-	MIR153-1
chr2	220154344	220174295	-	PTPRN
chr2	220192130	220197899	-	RESP18
chr2	220238179	220264729	-	DNPEP
chr2	220283098	220291461	+	DES
chr2	220299699	220358354	+	SPEG
chr2	220363586	220371718	+	GMPPA
chr2	220378891	220403494	+	ASIC4
chr2	220403668	220408487	-	CHPF
chr2	220413794	220413869	-	MIR3132
chr2	220408384	220415317	+	TMEM198
chr2	220415449	220436268	-	OBSL1
chr2	220436953	220440435	+	INHA
chr2	220462595	220481173	+	STK11IP
chr2	220492291	220506702	+	SLC4A3
chr2	220771222	220771286	-	MIR4268
chr2	222282746	222437010	-	EPHA4
chr2	222437225	222439174	+	AX747413
chr2	21388464	223047027	-	Mir_649
chr2	223162960	223162982	-	DD413687
chr2	223064605	223163715	-	PAX3
chr2	223162865	223169936	+	CCDC140
chr2	223185412	223186441	+	LOC440934
chr2	223289321	223423617	+	SGPP2
chr2	223436161	223520827	-	FARSB
chr2	223536456	223574649	+	MOGAT1
chr2	223725731	223808119	+	ACSL3
chr2	223916647	223920357	+	KCNE4
chr2	224461657	224467217	-	SCG2
chr2	224620046	224702319	-	AP1S3
chr2	224740064	224810052	-	WDFY1
chr2	224822120	224832431	+	MRPL44
chr2	224839764	224904036	-	SERPINE2
chr2	225243414	225266711	-	FAM124B
chr2	225334866	225450114	-	CUL3
chr2	225629806	225907330	-	DOCK10
chr2	225875177	225875257	-	MIR4439
chr2	226265601	226595471	+	NYAP2
chr2	65282807	226628181	+	MIR548AR
chr2	227007509	227044778	+	LOC646736
chr2	227523425	227523509	-	MIR5702
chr2	227596032	227663506	-	IRS1
chr2	7478030	227833838	-	SNORA48
chr2	227859553	227861591	+	AX748395
chr2	227700670	227863923	+	RHBDD1
chr2	227867426	228029275	-	COL4A4
chr2	228029280	228179508	+	COL4A3
chr2	228085767	228189902	-	LOC654841
chr2	228189866	228222552	+	MFF
chr2	228226873	228244022	-	TM4SF20
chr2	228336847	228336903	+	MIR5703
chr2	228336887	228425938	+	AGFG1
chr2	228474805	228498036	-	C2orf83
chr2	228573100	228575446	-	AX746677
chr2	228549925	228582745	-	SLC19A3
chr2	228678557	228682280	+	CCL20
chr2	228736326	228789026	+	DAW1
chr2	228844669	229046361	-	SPHKAP
chr2	229888688	230136057	-	PID1
chr2	230222344	230579286	-	DNER
chr2	230631929	230786655	-	TRIP12
chr2	230787206	230948016	+	FBXO36
chr2	230899689	230933715	-	SLC16A14
chr2	231033644	231090444	-	SP110
chr2	231090444	231223847	+	SP140
chr2	231191893	231268445	+	SP140L
chr2	231280870	231410317	+	SP100
chr2	231555635	231565244	-	LOC151475
chr2	231577556	231685790	+	CAB39
chr2	231729620	231743963	+	ITM2C
chr2	231751260	231769232	+	LOC151484
chr2	231772032	231825691	-	GPR55
chr2	231849082	231860747	-	LOC348761
chr2	231860838	231889770	+	SPATA3
chr2	231902280	231914427	+	C2orf72
chr2	231972949	231989824	-	HTR2B
chr2	231921577	232037540	+	PSMD1
chr2	232063293	232238606	+	ARMC9
chr2	232227418	232227504	+	MIR4777
chr2	232260334	232265875	+	B3GNT7
chr2	9439268	232320647	-	SNORA75
chr2	232321154	232321234	-	SNORD20
chr2	232325078	232325153	-	SNORD82
chr2	232319458	232329205	-	NCL
chr2	232373136	232379050	-	LINC00471
chr2	232387870	232395182	-	NMUR1
chr2	232457574	232458994	+	C2orf57
chr2	232570398	232571710	-	BC069004
chr2	118310280	232578105	+	MIR1244-2
chr2	232573234	232578250	+	PTMA
chr2	232597146	232645974	-	PDE6D
chr2	232646444	232673434	+	COPS7B
chr2	232756951	232757008	-	MIR1471
chr2	232786804	232791038	-	NPPC
chr2	232826292	233208678	+	DIS3L2
chr2	233243347	233247599	+	ALPP
chr2	233250459	233251754	-	ECEL1P2
chr2	233271551	233275424	+	ALPPL2
chr2	233320832	233324742	+	ALPI
chr2	233344536	233352532	-	ECEL1
chr2	233385172	233390425	+	PRSS56
chr2	233390869	233401375	+	CHRND
chr2	233404436	233411113	+	CHRNG
chr2	233412778	233415283	-	TIGD1
chr2	233415356	233448349	+	EIF4E2
chr2	233470766	233547491	+	EFHD1
chr2	233593257	233595607	+	AX748196
chr2	233562014	233725289	+	GIGYF2
chr2	233630511	233641275	-	KCNJ13
chr2	233734993	233741107	+	C2orf82
chr2	233743395	233877951	-	NGEF
chr2	233897381	233899767	+	NEU2
chr2	233925035	234116549	+	INPP5D
chr2	234184371	234184649	+	SCARNA5
chr2	234197321	234197587	+	SCARNA6
chr2	234160216	234204320	+	ATG16L1
chr2	234216308	234255701	+	SAG
chr2	234263152	234380743	+	DGKD
chr2	234384164	234475428	-	USP40
chr2	234651395	234652661	-	DNAJB3
chr2	234662961	234663991	-	LOC100286922
chr2	234526290	234681951	+	UGT1A8
chr2	234580543	234681951	+	UGT1A9
chr2	234590583	234681951	+	UGT1A7
chr2	234621637	234681951	+	UGT1A5
chr2	234627437	234681951	+	UGT1A4
chr2	234637772	234681951	+	UGT1A3
chr2	234545122	234681951	+	UGT1A10
chr2	234600320	234681951	+	UGT1A6
chr2	234668918	234681951	+	UGT1A1
chr2	234684369	234688428	+	DQ655968
chr2	234684369	234688428	+	DQ655967
chr2	234684369	234688428	+	DQ655969
chr2	234737200	234742064	+	HEATR7B1
chr2	234745485	234763212	-	HJURP
chr2	234774089	234777055	-	MSL3P1
chr2	234826042	234928166	+	TRPM8
chr2	234959345	234985776	+	SPP2
chr2	235361542	235363353	-	AX748264
chr2	235401685	235405693	-	ARL4C
chr2	235791851	235797446	-	AF279775
chr2	235904746	235905261	+	BC148242
chr2	235860627	235964358	+	SH3BP4
chr2	236402732	237040444	+	AGAP1
chr2	236916211	236918761	+	AK000798
chr2	237074306	237076652	-	GBX2
chr2	237103514	237172988	-	ASB18
chr2	237232789	237416178	-	IQCA1
